input	filtered	denoisedF	denoisedR	merged	nochim
1	125452	69666	66414	65364	55558	48800
10	116577	70793	66978	65757	58366	52690
11	124910	72364	65587	63161	51134	43230
2	185751	110729	107089	105812	93790	83637
3	136802	86893	85521	85196	81186	75516
4	121868	77398	72063	69948	61513	54751
5	93226	53743	52425	52211	47657	44805
6	170166	101098	99491	99515	93284	87232
7	258129	163114	160011	159580	142439	102382
8	153955	97207	94200	93692	84711	71023
9	99321	53670	52272	51987	47261	41892
12	121947	95792	94738	94623	92067	91270
13	132807	106370	104755	104779	101640	100544
14	92212	76633	75213	75417	71127	68993
15	145801	116919	113632	113911	105239	100492
16	141367	109473	104977	104903	95985	92339
17	149512	121412	119855	119957	115022	112874
18	118530	96913	94602	95132	87813	84922
19	125485	102583	101427	101477	99342	98431
20	176351	145116	142837	143278	132629	122550
21	81227	65003	62268	62513	55672	52478
22	47353	38176	37951	38009	37509	37177
23	90882	73172	72780	72971	72107	70415
24	51729	41276	40631	40624	39935	39448
25	96963	78884	76947	76804	74318	73376
26	128420	98699	95949	96017	92045	90682
27	132032	107999	106642	106699	104266	102953
28	177198	142203	140875	140784	138285	136888
29	72778	58932	57984	58064	57072	56584
30	122030	99059	97287	97350	95474	94551
31	106983	87953	84928	85218	76510	71257
32	119873	94095	93091	93093	89719	88198
33	118690	93043	92264	92413	90218	88723
34	65055	51008	50513	50524	49665	49381
35	209521	162341	159965	160155	155777	153942
36	133295	104278	101932	101920	97950	96552
37	84229	68148	66947	67169	63795	62821
38	109856	87584	86295	86276	82646	81141
39	101414	81341	79825	80088	74924	70257
40	60896	49388	47518	47639	43493	41846
41	106016	86171	84072	84082	81160	80566
42	80901	63948	63492	63425	62645	62371
43	70949	57514	56549	56496	55349	55017
44	93660	76097	75234	75169	73854	73463
45	123331	97419	94373	94216	87693	83731
46	162830	126579	123757	123612	118935	117458
47	109874	88577	87506	87658	85849	85086
48	152306	122828	121469	121397	119198	118159
49	146050	118499	115702	115503	111601	110108
50	155853	126186	123343	123383	118769	117183
51	89520	71877	69081	69264	65071	64088
